"Joint
Number
",wheel,type,WT,"ID/
OD
",hours,minutes,degrees,DTDC,depth,length,width
180,7236.625,MLOS,0.25,E,6,10,185,-175,18,1.7,2.53
180,7237.067,MLOS,0.25,E,6,45,202.5,-157.5,21,0.5,0.6
180,7243.283,MLOS,0.25,E,6,50,205,-155,20,2.7,1.52
183,7323.292,MLOS,0.25,E,7,0,210,-150,18,0.8,0.7
184,7374.208,MLOS,0.25,E,7,10,215,-145,26,3.8,2.79
184,7374.658,MLOS,0.25,E,6,45,202.5,-157.5,19,0.4,0.6
185,7405.3,MLOS,0.25,E,6,10,185,-175,20,0.3,0.5
185,7405.675,MLOS,0.25,E,6,30,195,-165,19,3,3.29
185,7405.833,MLOS,0.25,E,6,20,190,-170,20,0.4,0.5
186,7437.683,MLOS,0.25,E,5,40,170,170,21,0.7,1.1
186,7448.592,MLOS,0.25,E,6,15,187.5,-172.5,29,1.9,2.53
186,7450.425,MLOS,0.25,E,6,40,200,-160,18,2.3,4.56
186,7451.125,MLOS,0.25,E,5,50,175,175,18,2.7,6.33
186,7452.3,MLOS,0.25,E,5,50,175,175,18,0.2,0.5
186,7453.025,MLOS,0.25,E,5,40,170,170,28,1.6,1.16
186,7468.758,MLOS,0.25,I,4,40,140,140,25,0.7,1
186,7471.183,MLOS,0.25,E,5,45,172.5,172.5,20,0.5,0.6
186,7472.758,MLOS,0.25,E,5,20,160,160,18,0.6,0.7
187,7488.758,MLOS,0.25,E,5,40,170,170,19,0.8,0.8
187,7526.792,MLOS,0.25,E,5,50,175,175,18,0.5,0.7
188,7551.892,MLOS,0.25,E,7,25,222.5,-137.5,18,0.6,0.7
188,7554.283,MLOS,0.25,E,6,45,202.5,-157.5,40,1.9,3.29
188,7564.583,MLOS,0.25,E,6,55,207.5,-152.5,18,0.5,0.6
188,7567.125,MLOS,0.25,E,6,40,200,-160,20,0.7,1.2
188,7569.067,MLOS,0.25,E,5,45,172.5,172.5,20,0.4,0.6
188,7569.467,MLOS,0.25,E,5,50,175,175,18,0.4,1
189,7585.875,MLOS,0.25,E,5,25,162.5,162.5,18,1.8,1.77
191,7628.567,MLOS,0.25,E,5,55,177.5,177.5,23,0.6,0.7
191,7629.808,MLOS,0.25,E,6,0,180,180,22,0.8,1.27
191,7632.533,MLOS,0.25,E,5,50,175,175,21,1.3,1.67
191,7635.467,MLOS,0.25,E,5,50,175,175,23,3.6,5.47
191,7636.1,MLOS,0.25,E,7,10,215,-145,22,1.6,1.27
191,7646.008,MLOS,0.25,E,11,50,355,-5,18,0.5,0.7
191,7654.008,MLOS,0.25,E,6,50,205,-155,21,3.2,4.91
191,7654.583,MLOS,0.25,E,6,55,207.5,-152.5,22,3.7,2.68
191,7655.467,MLOS,0.25,E,7,30,225,-135,29,5.3,3.8
191,7655.975,MLOS,0.25,E,7,35,227.5,-132.5,20,0.3,0.6
191,7656.25,MLOS,0.25,E,6,0,180,180,24,10,6.33
191,7656.683,MLOS,0.25,E,6,45,202.5,-157.5,19,1,1.1
191,7660.358,MLOS,0.25,E,7,25,222.5,-137.5,19,1,1.1
191,7660.408,MLOS,0.25,E,9,20,280,-80,20,0.3,0.6
191,7660.533,MLOS,0.25,E,8,0,240,-120,23,0.4,0.5
191,7660.692,MLOS,0.25,E,7,0,210,-150,18,0.9,1.1
191,7661.842,MLOS,0.25,E,8,55,267.5,-92.5,21,0.5,0.7
191,7663.725,MLOS,0.25,E,9,40,290,-70,18,1.3,1.1
195,7847.842,MLOS,0.25,I,1,10,35,35,18,1.1,1.3
198,7992.017,MLOS,0.25,E,3,45,112.5,112.5,18,0.8,0.8
198,7992.358,MLOS,0.25,E,3,30,105,105,19,2,1.01
198,8006.375,MLOS,0.25,E,5,55,177.5,177.5,18,0.6,1
198,8008.975,MLOS,0.25,E,5,45,172.5,172.5,29,0.6,0.7
198,8009.35,MLOS,0.25,E,6,0,180,180,22,0.9,1.27
201,8056.358,MLOS,0.25,E,1,15,37.5,37.5,18,0.9,1
213,8643.425,MLOS,0.25,I,3,5,92.5,92.5,23,0.6,0.6
218,8868.108,MLOS,0.25,E,6,45,202.5,-157.5,18,0.5,0.7
218,8868.4,MLOS,0.25,E,5,55,177.5,177.5,24,0.4,0.6
218,8868.4,MLOS,0.25,E,6,45,202.5,-157.5,19,0.4,0.6
222,8936.425,MLOS,0.25,E,6,20,190,-170,24,0.7,1
222,8939.025,MLOS,0.25,E,6,25,192.5,-167.5,18,0.5,0.8
223,8966.375,MLOS,0.25,E,7,50,235,-125,20,0.6,0.7
223,8967.333,MLOS,0.25,E,6,5,182.5,-177.5,18,0.8,1
223,8975.808,MLOS,0.25,E,7,40,230,-130,20,3.3,4.96
229,9175.225,MLOS,0.25,E,4,30,135,135,20,3.4,3.04
229,9175.975,MLOS,0.25,E,4,10,125,125,27,0.4,0.6
229,9176.225,MLOS,0.25,E,4,0,120,120,22,2.1,3.9
229,9178.942,MLOS,0.25,E,5,50,175,175,24,1.1,1.52
229,9179.775,MLOS,0.25,E,6,5,182.5,-177.5,22,4.1,2.03
229,9180.333,MLOS,0.25,E,6,10,185,-175,21,1.8,1.52
231,9316.575,MLOS,0.25,E,5,30,165,165,18,1.8,1.52
234,9456.458,MLOS,0.25,E,6,5,182.5,-177.5,18,0.6,0.7
234,9471.417,MLOS,0.25,E,5,50,175,175,22,0.5,0.7
234,9474.008,MLOS,0.25,E,8,35,257.5,-102.5,27,1.1,0.8
234,9474.575,MLOS,0.25,E,8,10,245,-115,20,3.4,2.53
234,9474.975,MLOS,0.25,E,8,15,247.5,-112.5,19,1.4,1.2
235,9499.992,MLOS,0.25,E,5,15,157.5,157.5,19,0.4,0.7
235,9500.658,MLOS,0.25,E,7,0,210,-150,21,0.7,0.8
235,9507.208,MLOS,0.25,E,6,10,185,-175,20,1.1,1.2
235,9508.475,MLOS,0.25,E,6,10,185,-175,24,2.1,4.91
235,9509.025,MLOS,0.25,E,4,55,147.5,147.5,24,2.6,4.05
235,9509.067,MLOS,0.25,E,6,25,192.5,-167.5,18,0.4,0.5
235,9509.225,MLOS,0.25,E,5,20,160,160,24,0.7,1.1
235,9509.392,MLOS,0.25,E,6,25,192.5,-167.5,21,2.7,3.04
235,9509.75,MLOS,0.25,E,5,50,175,175,20,0.5,0.7
235,9510.658,MLOS,0.25,E,6,10,185,-175,19,1.9,1.67
235,9510.925,MLOS,0.25,E,6,40,200,-160,18,2.2,2.53
235,9511.442,MLOS,0.25,E,6,10,185,-175,34,3.3,2.79
235,9512.175,MLOS,0.25,E,6,10,185,-175,18,0.6,0.7
237,9619.133,MLOS,0.25,E,5,40,170,170,21,0.5,0.7
238,9623.067,MLOS,0.25,E,5,10,155,155,19,0.8,1.2
283,11450.25,MLOS,0.25,E,7,5,212.5,-147.5,21,0.5,0.6
283,11451.342,MLOS,0.25,E,7,15,217.5,-142.5,18,0.6,0.7
283,11452.708,MLOS,0.25,E,7,5,212.5,-147.5,37,0.7,0.8
283,11454.45,MLOS,0.25,E,7,0,210,-150,21,2.8,2.79
284,11475.283,MLOS,0.25,E,5,35,167.5,167.5,22,3.1,3.04
284,11500.858,MLOS,0.25,E,6,30,195,-165,20,1.4,1.87
284,11501.325,MLOS,0.25,E,6,25,192.5,-167.5,24,2.5,4.2
284,11501.625,MLOS,0.25,E,6,15,187.5,-172.5,20,0.5,2.28
284,11502.142,MLOS,0.25,E,7,40,230,-130,27,0.5,0.7
284,11502.225,MLOS,0.25,E,6,25,192.5,-167.5,19,2.4,4.41
284,11502.508,MLOS,0.25,E,5,40,170,170,19,1.2,1.62
284,11502.925,MLOS,0.25,E,5,50,175,175,29,2.7,2.03
285,11544.442,MLOS,0.25,E,6,10,185,-175,21,0.4,0.6
285,11546.325,MLOS,0.25,E,6,0,180,180,27,0.5,0.7
