Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
6953,171327.53,38.85,94.75,Ext,29,13.5,8.76,22
6955,171351.87,23.52,92.75,Ext,9,1.37,1.416,22
6956,171365.91,37.55,80.25,Ext,10,0.587,1.776,22
6958,171370.63,2.54,80.25,Ext,10,0.49,0.624,22
6959,171373.52,5.42,83.5,Ext,35,0.294,1.128,22
6960,171387.1,19.01,82.75,Ext,24,2.25,2.616,22
6961,171387.46,19.36,86,Ext,11,1.077,1.104,22
6962,171393.06,24.97,79,Ext,12,2.642,2.232,22
6963,171395.89,27.8,103.5,Ext,17,2.25,3.528,22
6965,171412.5,4.66,89.25,Ext,13,0.587,1.032,22
6966,171441.99,34.15,95.5,Ext,5,1.077,3.384,22
6969,171469.83,22.28,86,Ext,17,0.587,0.864,22
6971,171497.54,10.23,82.75,Ext,19,0.881,1.176,22
6972,171510.74,23.43,75.25,Ext,28,1.526,3.36,22
6973,171516.65,29.34,100.5,Ext,10,0.783,0.984,22
6974,171526.4,39.08,92,Ext,23,0.353,0.864,22
6977,171568.67,1.87,96.75,Ext,13,1.761,3.216,22
6980,171606.69,0.19,86.25,Ext,17,0.705,1.248,22
6981,171614.46,7.96,108.25,Ext,6,0.587,1.056,22
6982,171630.74,24.25,108.25,Ext,17,0.783,0.936,22
6984,171656.07,9.83,93.75,Ext,13,1.37,2.52,22
6988,171749.55,23.92,94.5,Ext,10,2.25,3.696,22
6991,171837.66,32.51,80,Ext,4,0.196,0.792,22
6992,171838.33,33.18,87.25,Ext,10,2.25,3.144,22
6993,171838.73,33.58,78.5,Ext,3,0.294,0.72,22
6994,171839.29,34.14,77.25,Ext,10,0.294,0.6,22
6995,171842.7,37.56,79.75,Ext,5,1.566,5.448,22
6997,171852.35,7.45,93,Ext,3,0.49,1.224,22
6998,171857.03,12.13,93,Ext,7,0.587,0.552,22
6999,171869.01,24.11,94.25,Ext,18,1.761,3.264,22
7000,171870.15,25.25,86.75,Ext,3,0.294,0.768,22
7001,171870.43,25.53,85.5,Ext,5,0.49,0.936,22
7002,171870.81,25.91,76.75,Ext,5,0.587,1.008,22
7003,171874.41,29.51,66.25,Ext,14,0.881,1.104,22
7004,171881.05,36.15,85.5,Ext,12,4.207,4.944,22
7005,171883.48,38.58,86.75,Ext,16,2.466,2.592,22
7007,171885.37,0.79,84.25,Ext,16,2.466,3.144,22
7009,171926.03,1.75,85.5,Ext,15,1.996,2.208,22
7010,171941.49,17.21,78,Ext,19,0.587,0.912,22
7011,171950.94,26.66,68,Ext,15,1.663,8.832,22
7013,172000.87,36.87,98,Ext,7,1.077,3.912,22
7014,172001.24,37.23,78,Ext,8,0.294,0.816,22
7015,172001.66,37.65,82,Ext,15,0.49,1.44,22
7018,172046.38,2.94,86.25,Ext,15,0.294,0.624,22
7020,172079.45,36.01,96.75,Ext,4,0.587,1.008,22
7021,172082.33,38.9,91.25,Ext,10,1.292,3.864,22
7023,172084.91,1.77,83,Ext,13,2.348,2.112,22
7024,172085.36,2.22,83.75,Ext,10,2.466,2.952,22
7025,172086.45,3.31,90,Ext,10,1.077,1.272,22
7026,172117.37,34.24,90,Ext,10,0.881,1.056,22
7027,172120.83,37.69,90.25,Ext,10,0.705,1.296,22
7028,172121.07,37.94,82.75,Ext,19,0.705,0.84,22
7029,172122.69,39.55,87.25,Ext,17,3.992,4.176,22
7031,172160.76,37.88,84.75,Ext,16,0.705,1.056,22
7033,172164.52,2.11,96.5,Ext,6,0.705,1.344,22
7034,172164.95,2.54,87.25,Ext,7,1.174,1.128,22
7035,172170.04,7.64,106,Ext,17,0.881,1.68,22
7036,172177.44,15.03,75.25,Ext,8,0.587,0.696,22
7038,172198.14,35.73,104,Ext,12,0.587,0.624,22
7039,172201.91,39.5,99.5,Ext,30,0.705,2.424,22
7041,172234.37,32.28,91,Ext,11,0.49,1.416,22
7042,172236.64,34.55,89.25,Ext,6,0.49,0.888,22
7043,172238.05,35.96,96.25,Ext,3,0.587,1.392,22
7045,172243.89,2.03,78.75,Ext,10,2.348,5.208,22
7052,172410.58,9.96,106.75,Ext,10,0.587,0.84,22
7056,172442.72,2.4,92.5,Ext,18,0.587,1.272,22
7057,172442.81,2.5,81.75,Ext,12,0.979,1.56,22
7058,172443.52,3.2,93.75,Ext,10,0.685,1.152,22
7059,172457.17,16.85,82.5,Ext,14,3.62,3.384,22
7062,172522.03,2.39,105.5,Ext,19,1.057,3.432,22
7063,172556.3,36.66,93,Ext,13,4.109,3.024,22
7064,172556.88,37.24,91.75,Ext,11,1.526,1.056,22
7066,172592.52,33.12,74.5,Ext,5,3.62,3.6,22
7067,172593.08,33.67,87,Ext,8,3.229,3.144,22
7068,172593.27,33.87,78.25,Ext,11,0.587,1.8,22
7069,172593.41,34.01,95.75,Ext,16,0.49,1.104,22
7070,172594.25,34.85,93.25,Ext,12,0.783,2.64,22
7072,172599.63,0.54,90.75,Ext,15,0.587,1.152,22
7073,172601.84,2.75,95.75,Ext,17,2.583,4.704,22
7074,172603.2,4.11,82.75,Ext,14,0.979,2.664,22
7075,172612.51,13.41,96,Ext,17,0.822,2.136,22
7076,172620.92,21.83,76,Ext,17,0.587,1.224,22
7077,172621.05,21.95,82.25,Ext,13,0.47,0.864,22
7078,172636.99,37.9,98.75,Ext,25,2.348,3.888,22
7079,172637.16,38.06,85,Ext,8,2.466,2.184,22
7080,172637.47,38.38,83,Ext,16,0.47,0.864,22
7082,172649.62,10.88,91.25,Ext,8,0.587,0.936,22
7083,172665.22,26.49,77.75,Ext,18,0.49,1.032,22
7084,172669.43,30.7,110,Ext,10,0.294,0.744,22
7085,172670.17,31.43,91.25,Ext,8,1.859,5.448,22
7086,172673.01,34.28,95,Ext,4,0.587,1.152,22
7087,172674.95,36.21,84.75,Ext,11,1.957,1.824,22
7089,172683.07,4.75,108.25,Ext,11,0.685,1.56,22
7090,172697.47,19.16,106.75,Ext,15,2.153,2.808,22
7091,172699.57,21.26,93.75,Ext,10,0.587,0.984,22
7093,172718.22,0.15,99.25,Ext,26,0.587,1.752,22
7094,172720.97,2.9,77.5,Ext,24,0.822,1.224,22
7096,172760.94,3.16,90,Ext,10,0.705,1.104,22
7097,172790.93,33.15,77.5,Ext,7,0.49,0.696,22
7098,172793.6,35.81,82.5,Ext,4,0.392,1.08,22
7100,172815.9,18.42,95,Ext,24,1.761,4.416,22
7102,172830.54,33.05,86.25,Ext,11,8.12,4.632,22
7104,172842.7,5.52,80.25,Ext,3,0.587,1.008,22
7105,172842.85,5.67,83.25,Ext,8,0.392,0.816,22
7107,172912.68,35.83,83.75,Ext,3,0.705,1.104,22
7110,172972.9,16.47,83.5,Ext,8,0.392,1.344,22
7111,172976.87,20.44,82.25,Ext,3,0.587,1.032,22
7112,172979.51,23.08,79.25,Ext,12,0.587,0.696,22
7113,172995.98,39.55,79.25,Ext,16,0.822,1.536,22
7126,173405.83,12.37,87.25,Ext,10,0.685,0.576,22
7129,173470.63,37.54,91.75,Ext,20,0.235,0.84,22
7130,173471.16,38.07,87.5,Ext,30,0.47,1.464,22
7134,173551.31,38.8,80.5,Ext,5,0.822,0.912,22
7136,173555.34,3.12,67.25,Ext,12,1.057,1.488,22
7137,173556.58,4.36,81,Ext,6,0.587,0.864,22
7138,173582.55,30.33,84.75,Ext,4,0.587,0.792,22
7139,173583.89,31.67,91.5,Ext,7,0.49,0.888,22
7140,173590.98,38.76,98.5,Ext,26,1.526,2.352,22
7142,173594.39,2.69,93.5,Ext,32,1.996,3.672,22
7143,173602.32,10.62,87.25,Ext,5,0.685,0.6,22
7144,173613.6,21.9,107.75,Ext,9,0.587,1.32,22
7145,173614.75,23.05,93.25,Ext,17,2.055,2.088,22
7146,173615.85,24.14,94.5,Ext,13,0.587,0.912,22
7147,173619.76,28.05,90.25,Ext,19,0.49,0.744,22
7148,173622.38,30.67,94.75,Ext,10,1.37,3.504,22
7149,173626.79,35.09,84.75,Ext,3,0.49,1.104,22
7150,173628.93,37.22,95.25,Ext,4,0.587,0.936,22
7151,173629.12,37.41,91.5,Ext,5,0.392,0.648,22
7153,173632.08,0.64,81.5,Ext,14,2.231,3.024,22
7154,173634.19,2.75,96.25,Ext,9,0.587,1.032,22
7155,173640.13,8.69,84.5,Ext,16,0.49,1.272,22
7156,173645.26,13.82,81.25,Ext,27,2.153,3.072,22
7157,173645.51,14.07,77,Ext,6,0.685,1.296,22
7158,173649.14,17.7,77,Ext,18,2.348,3.552,22
7160,173678.4,7.15,96,Ext,15,0.783,3.696,22
7161,173693.38,22.13,97.25,Ext,10,0.49,0.96,22
7163,173730.06,19.09,89.5,Ext,18,0.685,0.84,22
7164,173735.21,24.23,96.75,Ext,5,0.587,0.696,22
7165,173743.87,32.89,82.75,Ext,9,0.587,0.912,22
7167,173751.96,1.26,89.25,Ext,10,1.057,1.32,22
7168,173753.19,2.49,96.75,Ext,13,0.587,0.912,22
7169,173753.49,2.79,91.75,Ext,16,0.587,1.464,22
7170,173761.86,11.17,93.5,Ext,14,0.49,1.152,22
7171,173765.48,14.79,93.5,Ext,22,0.881,1.224,22
7172,173769.8,19.11,92.25,Ext,20,6.75,5.448,22
7175,173817.96,30.09,75.25,Ext,18,0.587,0.864,22
7176,173818.1,30.24,80.75,Ext,3,0.685,0.624,22
7178,173851.57,23.98,98.25,Ext,4,0.685,0.936,22
7181,173897.48,30.15,103,Ext,9,0.881,1.128,22
7190,174068,2.22,96.25,Ext,16,0.49,0.912,22
7191,174068.34,2.57,83,Ext,7,0.49,1.08,22
7192,174073.63,7.85,81.75,Ext,7,0.294,0.792,22
7193,174073.86,8.09,85.5,Ext,20,0.783,4.608,22
7194,174076.91,11.13,89.25,Ext,2,0.881,0.84,22
7195,174086.12,20.35,91.75,Ext,4,1.761,1.824,22
7197,174094.47,28.69,94.75,Ext,9,0.587,0.936,22
7202,174250.48,25.95,121.5,Ext,6,0.587,1.008,22
7207,174340.54,36.69,80.5,Ext,23,0.353,0.96,22
7209,174382.16,38.62,85.25,Ext,15,0.49,0.768,22
7211,174386.59,3.27,91.75,Ext,19,0.587,0.816,22
7212,174387.71,4.38,84.75,Ext,20,0.587,1.008,22
7213,174422.67,39.35,92.75,Ext,4,1.37,4.488,22
7216,174474.97,12.24,107,Ext,17,0.783,0.768,22
7220,174549.58,7.43,91.5,Ext,7,0.392,0.792,22
7221,174577.86,35.7,96.5,Ext,15,0.294,0.96,22
7222,174577.97,35.82,97.75,Ext,12,0.881,2.904,22
7223,174578.23,36.07,97.75,Ext,20,1.957,4.848,22
7229,174741.32,0.65,93.5,Ext,16,0.587,1.08,22
7231,174799.66,19.19,91.75,Ext,5,0.49,0.936,22
7232,174800.21,19.74,89.25,Ext,12,0.783,1.32,22
7233,174802.47,22,88,Ext,5,0.587,0.936,22
7234,174802.49,22.02,98,Ext,10,0.49,0.552,22
7235,174810.94,30.47,77.5,Ext,9,0.94,1.464,22
7237,174813.5,1.21,79.25,Ext,5,0.587,0.672,22
7238,174815.45,3.16,114.25,Ext,17,1.077,0.816,22
7239,174815.49,3.2,103,Ext,6,0.685,1.608,22
7240,174815.8,3.51,99.25,Ext,3,0.587,0.888,22
7241,174816.1,3.81,94.25,Ext,2,1.761,5.28,22
7242,174816.18,3.89,80.5,Ext,10,0.587,0.84,22
7243,174816.47,4.18,94.25,Ext,13,0.587,0.912,22
7244,174816.49,4.2,107.25,Ext,15,0.783,1.608,22
7245,174817.13,4.84,100.25,Ext,8,0.587,1.08,22
7246,174817.15,4.86,75.25,Ext,5,1.859,3.264,22
7247,174820.41,8.12,94,Ext,8,0.47,0.888,22
7248,174820.87,8.58,105.5,Ext,13,0.587,1.056,22
7249,174820.96,8.68,108,Ext,9,0.47,0.936,22
7250,174821.7,9.41,76,Ext,8,0.94,1.032,22
7257,174960.65,19.27,80,Ext,2,0.49,0.888,22
7258,174973.75,32.36,87,Ext,14,0.685,0.768,22
7261,174980.37,38.99,96.25,Ext,12,1.761,7.728,22
7263,174985.66,4.62,77.25,Ext,34,3.326,3.648,22
7264,174988.74,7.7,84.5,Ext,13,0.881,0.768,22
7265,174989.27,8.23,75.25,Ext,17,0.783,0.936,22
7266,174989.36,8.31,85.75,Ext,5,0.587,0.816,22
7267,174989.66,8.62,83.25,Ext,8,0.294,0.648,22
7268,174999.85,18.8,81.5,Ext,14,0.685,0.96,22
7270,175002.95,21.9,81.75,Ext,8,0.294,0.96,22
7271,175003.85,22.81,81.75,Ext,31,0.49,1.056,22
7272,175005.64,24.6,83.5,Ext,15,0.587,0.888,22
7273,175006.7,25.65,81.5,Ext,3,0.783,0.624,22
7274,175007.29,26.25,82.75,Ext,11,3.033,4.176,22
7275,175008.9,27.86,82.25,Ext,15,0.587,0.888,22
7276,175009.27,28.23,81.5,Ext,4,0.587,0.72,22
7277,175009.71,28.67,82.75,Ext,15,1.272,2.808,22
7278,175010.64,29.6,86.5,Ext,9,0.392,0.576,22
7279,175011.51,30.47,91.75,Ext,19,1.859,2.04,22
7280,175011.83,30.79,84.75,Ext,24,5.576,3.84,22
7281,175012.52,31.48,84.75,Ext,17,1.468,3.192,22
7282,175012.87,31.83,90.5,Ext,3,0.587,0.792,22
7283,175014.76,33.71,90.25,Ext,11,0.587,1.032,22
7284,175015.01,33.97,81.5,Ext,16,0.685,1.032,22
7285,175015.27,34.23,82.25,Ext,20,0.587,1.224,22
7286,175015.94,34.9,90.25,Ext,13,1.272,1.056,22
7287,175016.99,35.95,87.25,Ext,3,0.587,1.104,22
7288,175017.38,36.34,86.5,Ext,8,0.685,0.864,22
7289,175017.87,36.83,81.5,Ext,8,0.587,0.72,22
7290,175019.41,38.37,86.5,Ext,2,0.979,1.152,22
7292,175022.96,2.27,86.5,Ext,9,0.94,1.296,22
7293,175023.2,2.51,82.75,Ext,11,1.057,1.008,22
7294,175026.56,5.87,82.5,Ext,6,0.49,0.696,22
7296,175065.82,5.43,72.5,Ext,18,0.587,0.72,22
7298,175128.42,28.23,107.75,Ext,18,0.587,1.536,22
7300,175150.03,10.12,98.5,Ext,15,0.587,1.104,22
7306,175218.62,38.98,90,Ext,15,1.292,1.368,22
7309,175262.72,3.63,93.5,Ext,37,1.526,2.448,22
7310,175270.81,11.71,92.25,Ext,6,0.881,1.344,22
7311,175272.57,13.47,92.25,Ext,8,0.587,1.104,22
7312,175273.36,14.26,93.75,Ext,10,1.663,2.184,22
7313,175273.98,14.88,94.25,Ext,15,0.685,0.792,22
7314,175275.98,16.88,90,Ext,23,3.424,2.904,22
7315,175279.3,20.2,93,Ext,20,0.587,0.96,22
7316,175279.76,20.66,91.75,Ext,6,0.49,1.056,22
7317,175280.82,21.72,92.25,Ext,18,0.685,1.32,22
7318,175281.37,22.28,93,Ext,26,0.979,1.584,22
7319,175281.73,22.63,93.5,Ext,19,0.685,1.176,22
7320,175281.93,22.83,93.5,Ext,19,0.49,0.888,22
7321,175282.03,22.93,93,Ext,20,1.174,1.872,22
7322,175283.1,24.01,93.5,Ext,2,0.587,0.744,22
7323,175287.45,28.35,93.5,Ext,38,1.272,4.392,22
7324,175287.9,28.81,93,Ext,20,0.49,1.056,22
7325,175290.58,31.48,94.5,Ext,19,0.783,0.96,22
7326,175292.31,33.22,98,Ext,14,0.49,0.84,22
7327,175293.1,34,88,Ext,18,0.587,1.08,22
7328,175295.57,36.47,89.75,Ext,35,0.587,1.032,22
7329,175295.87,36.77,89,Ext,39,0.587,0.84,22
7330,175296.44,37.34,87.25,Ext,39,0.94,3.192,22
7331,175296.68,37.59,94.75,Ext,45,3.287,3.408,22
7332,175296.98,37.88,93.5,Ext,27,0.47,1.032,22
7334,175300.49,1.55,90.25,Ext,13,0.587,1.08,22
7335,175306.58,7.64,92.25,Ext,15,0.49,0.912,22
7336,175308.56,9.62,93,Ext,16,0.587,1.032,22
7337,175309.11,10.17,91,Ext,19,3.131,3.312,22
7338,175331.32,32.38,85.75,Ext,15,0.587,0.768,22
7342,175391.05,12.46,93.75,Ext,17,0.685,1.224,22
7344,175391.56,12.97,85.5,Ext,22,0.685,1.008,22
7345,175391.88,13.28,96.25,Ext,5,0.49,0.624,22
7348,175412.96,34.37,84.25,Ext,8,0.49,0.888,22
7349,175415.37,36.78,94.25,Ext,10,0.587,0.84,22
7350,175416.46,37.86,144.25,Ext,13,0.587,0.72,22
7353,175488.13,30.17,74.25,Ext,4,0.49,0.912,22
7354,175489.74,31.79,91,Ext,8,0.587,0.576,22
7355,175490.99,33.03,175.5,Ext,7,0.587,0.84,22
7356,175492.54,34.58,3,Ext,16,0.94,1.008,22
7358,175511.06,13.35,82.75,Ext,25,0.783,1.152,22
7365,175666.03,2.58,79.25,Ext,4,1.174,1.128,22
7366,175673.26,9.82,79.75,Ext,22,2.153,2.64,22
7367,175677.85,14.41,85.25,Ext,16,2.055,3.624,22
7369,175707.01,10.95,80.5,Ext,13,0.587,0.792,22
7370,175707.75,11.68,91.75,Ext,5,2.113,2.208,22
7371,175707.79,11.72,84.25,Ext,10,0.353,1.128,22
7372,175708.37,12.31,83.5,Ext,8,0.587,0.912,22
7373,175726.5,30.43,90.75,Ext,16,2.642,4.176,22
7374,175726.8,30.74,91.75,Ext,25,0.587,1.152,22
7375,175728.06,31.99,125.5,Ext,28,0.587,1.176,22
7376,175731.96,35.9,83.5,Ext,4,0.49,0.984,22
7377,175733.31,37.24,78.25,Ext,10,1.957,2.568,22
7379,175738.2,2.33,85.25,Ext,20,0.822,1.68,22
7380,175740.79,4.91,99.75,Ext,19,0.49,0.768,22
7381,175757.94,22.06,81,Ext,10,1.761,4.2,22
7382,175768.43,32.55,134.25,Ext,6,0.587,0.792,22
7384,175783.87,8.31,79.5,Ext,12,4.892,4.608,22
7386,175787.18,0.58,89.75,Ext,3,0.705,0.984,22
7387,175787.36,0.76,92.75,Ext,4,0.705,1.416,22
7388,175793.01,6.41,92.75,Ext,22,1.174,2.88,22
7389,175793.29,6.69,83.25,Ext,21,1.663,3.408,22
7390,175796.14,9.54,77.75,Ext,8,0.587,1.272,22
7391,175798.54,11.94,99.75,Ext,12,0.783,0.696,22
7392,175798.56,11.96,73,Ext,11,1.957,4.008,22
7393,175804.03,17.44,85.25,Ext,4,0.294,0.744,22
7394,175804.26,17.66,80.25,Ext,12,0.881,1.104,22
7395,175804.65,18.05,79.5,Ext,22,0.587,0.936,22
7396,175805.75,19.16,82,Ext,15,0.49,0.816,22
7397,175818.83,32.23,81.25,Ext,23,0.685,1.008,22
7398,175819.2,32.6,82,Ext,18,0.587,0.84,22
7399,175821.37,34.77,89.25,Ext,18,1.761,1.872,22
7400,175825.41,38.81,83.75,Ext,2,0.49,0.816,22
7401,175825.61,39.01,85,Ext,10,0.294,0.912,22
7403,175830.21,3.78,79.5,Ext,5,3.229,4.776,22
7404,175830.59,4.15,85,Ext,11,0.49,0.864,22
7405,175831.5,5.06,93.25,Ext,3,0.587,0.816,22
7406,175833.21,6.78,85.75,Ext,19,0.587,0.816,22
7407,175833.41,6.97,88.25,Ext,14,0.294,0.984,22
7408,175833.58,7.14,86.25,Ext,4,0.587,0.432,22
7409,175836.33,9.9,90,Ext,16,0.685,1.416,22
7410,175841.01,14.58,92.5,Ext,12,1.174,1.2,22
7412,175858.14,31.7,90.75,Ext,22,0.881,1.56,22
7413,175859.14,32.71,88.25,Ext,7,0.49,0.696,22
7415,175866.68,0.41,86.25,Ext,20,1.292,4.896,22
7416,175867.12,0.85,88.75,Ext,14,0.353,1.824,22
7417,175867.71,1.44,89.25,Ext,9,0.47,0.888,22
7418,175868.39,2.12,94.25,Ext,4,1.174,0.672,22
7419,175869.24,2.97,93,Ext,16,0.587,1.44,22
7420,175870.44,4.17,87,Ext,24,0.587,0.984,22
7421,175873.36,7.08,86.25,Ext,19,0.587,0.936,22
7422,175879.58,13.3,2,Ext,7,1.663,1.584,22
7423,175882.47,16.2,85,Ext,4,0.783,1.056,22
7424,175882.94,16.67,87,Ext,10,0.881,1.2,22
7425,175883.19,16.92,89.5,Ext,14,0.587,1.752,22
7426,175883.44,17.17,85.75,Ext,3,0.587,0.912,22
7427,175895.5,29.22,86,Ext,9,0.587,1.416,22
7429,175924.71,18.6,98.5,Ext,9,0.49,1.536,22
7430,175927.5,21.39,84.5,Ext,16,0.587,1.056,22
7432,175975.37,29.5,84,Ext,5,0.294,0.648,22
7434,175988.95,3.22,80.75,Ext,16,0.294,1.032,22
7435,176002.6,16.87,159.75,Ext,20,0.49,0.816,22
7436,176007.85,22.12,94.75,Ext,6,0.49,0.96,22
7437,176010.14,24.41,86.5,Ext,11,0.49,0.84,22
7438,176021.26,35.53,92.75,Ext,23,7.337,7.536,22
7439,176022.05,36.32,84,Ext,3,4.305,4.656,22
7440,176022.9,37.17,84,Ext,24,0.979,2.688,22
7441,176024.49,38.76,86.5,Ext,7,4.578,4.44,22
7443,176036.8,11.31,113.25,Ext,17,0.587,0.936,22
7446,176124.18,19.15,172,Ext,3,0.881,1.32,22
7447,176142.12,37.1,91.75,Ext,12,0.783,1.296,22
7449,176145.39,0.55,91.75,Ext,13,0.587,0.984,22
7450,176145.76,0.91,98,Ext,10,0.822,1.224,22
7451,176147.81,2.96,95.5,Ext,16,12.561,4.8,22
7452,176148.18,3.33,90.5,Ext,23,1.292,4.464,22
7453,176148.46,3.61,96.75,Ext,16,0.47,1.248,22
7454,176148.83,3.98,96.75,Ext,19,3.757,2.688,22
7455,176149.02,4.17,94.25,Ext,2,0.685,1.056,22
7456,176160.73,15.88,101.75,Ext,12,2.055,2.328,22
7457,176161.05,16.2,101.75,Ext,7,1.957,2.424,22
7458,176162.46,17.61,95,Ext,11,1.272,2.688,22
7459,176162.96,18.11,81.25,Ext,5,0.49,1.176,22
7460,176164.28,19.43,91.25,Ext,5,0.979,0.84,22
7461,176171.97,27.12,91.25,Ext,26,0.783,1.56,22
7463,176189.95,5.36,102.75,Ext,3,2.642,3.216,22
7464,176193.74,9.16,103.25,Ext,5,2.837,1.944,22
7465,176196.52,11.94,93.25,Ext,5,0.294,0.72,22
7466,176199.11,14.53,82,Ext,13,0.587,0.648,22
7467,176201.16,16.58,85.5,Ext,2,0.49,0.744,22
7468,176202.29,17.71,91.75,Ext,13,0.49,0.936,22
7469,176213.56,28.98,77.75,Ext,6,0.392,1.224,22
7470,176218.21,33.63,91,Ext,3,0.392,1.032,22
7472,176229.84,5.44,91.5,Ext,15,1.996,3.144,22
7473,176233.77,9.37,87,Ext,16,0.587,1.008,22
7474,176233.92,9.52,90.75,Ext,7,0.587,1.104,22
7475,176235,10.6,99.5,Ext,2,0.783,1.008,22
7476,176235.92,11.52,178.5,Ext,10,0.49,0.96,22
7477,176237.59,13.19,91,Ext,8,0.49,0.6,22
7478,176238.59,14.18,104.75,Ext,2,1.761,1.368,22
7479,176239.16,14.76,178.5,Ext,4,0.685,0.936,22
7480,176239.82,15.42,102.25,Ext,5,0.587,0.432,22
7481,176240.35,15.95,91,Ext,3,2.935,4.104,22
7482,176240.97,16.56,100.25,Ext,4,0.294,0.792,22
7483,176242.28,17.88,78.5,Ext,21,2.739,3.6,22
7484,176247.31,22.91,169.25,Ext,8,0.587,0.672,22
7485,176252.46,28.06,94.25,Ext,3,2.739,3.048,22
7486,176254.7,30.3,92,Ext,2,3.131,4.68,22
7487,176255.15,30.75,76.25,Ext,8,0.587,0.528,22
7488,176257.02,32.62,81,Ext,2,2.25,4.68,22
7489,176257.84,33.44,86,Ext,14,1.174,1.632,22
7495,176425.66,5.76,152.25,Ext,7,0.783,1.944,22
7496,176463.29,43.4,153.25,Ext,10,0.94,1.896,22
7499,176550.54,43.42,160.75,Ext,19,2.25,3.168,22
7510,176843.51,22.9,70.75,Ext,10,0.587,0.864,22
7511,176844.97,24.37,87.75,Ext,5,0.685,0.96,22
7512,176849.38,28.77,82.75,Ext,5,0.353,1.056,22
7513,176854.8,34.19,95.25,Ext,2,0.47,0.888,22
7514,176855.47,34.87,81.75,Ext,12,0.705,1.128,22
7515,176855.53,34.93,91,Ext,6,0.353,0.984,22
7517,176863.65,6.01,7.5,Ext,10,0.94,1.296,22
7518,176865.8,8.17,80.5,Ext,24,0.587,1.344,22
7519,176868.97,11.33,104,Ext,3,0.587,0.768,22
7520,176869.84,12.2,102,Ext,5,0.353,0.888,22
7521,176878.77,21.13,84.75,Ext,4,0.353,0.84,22
7522,176894.62,36.98,90.25,Ext,16,0.705,1.104,22
7524,176905.45,8.94,89.25,Ext,16,0.47,0.912,22
7525,176911.59,15.08,91.75,Ext,22,0.705,1.08,22
7526,176912.27,15.77,86,Ext,23,1.526,2.952,22
7527,176919.8,23.29,92.75,Ext,5,0.47,0.96,22
7528,176920.02,23.51,90.25,Ext,3,0.705,0.864,22
7529,176925.47,28.96,83.25,Ext,7,0.587,0.672,22
7530,176925.65,29.14,92.5,Ext,18,0.587,1.584,22
7531,176926.11,29.6,93.25,Ext,3,1.996,1.992,22
7532,176926.77,30.26,83.25,Ext,12,0.587,0.84,22
7533,176930.74,34.23,82,Ext,2,0.705,0.96,22
7535,176934.75,38.25,94,Ext,9,0.587,1.176,22
7537,176958.93,22.69,103.75,Ext,18,0.587,0.888,22
7538,176961.04,24.8,90.5,Ext,7,0.587,0.624,22
7539,176965.73,29.49,92.25,Ext,6,0.881,0.96,22
7540,176966.87,30.62,52,Ext,9,0.685,0.84,22
7541,176969.75,33.51,85.5,Ext,13,0.685,0.48,22
7542,176973.77,37.53,80.25,Ext,11,2.113,2.208,22
7543,176973.97,37.73,80.25,Ext,13,1.292,1.968,22
7545,176979.56,3.47,92.25,Ext,5,6.809,2.064,22
7546,176980.09,4,85.25,Ext,4,1.057,1.08,22
7547,176982.88,6.79,83.5,Int,16,2.7,3.96,22
7548,176997.37,21.27,84.75,Ext,9,0.822,1.104,22
7549,176997.7,21.61,89.25,Ext,5,0.587,1.32,22
7552,177060.09,4.65,50,Ext,4,0.587,0.912,22
7553,177068.52,13.08,90.75,Ext,4,2.544,4.488,22
7554,177072.57,17.13,87,Ext,14,0.685,1.032,22
7555,177085.21,29.77,76.25,Ext,15,0.587,0.672,22
7556,177085.61,30.17,80.5,Ext,7,2.544,2.928,22
7557,177091.25,35.81,92.25,Ext,3,0.47,0.96,22
7559,177129.18,34.07,84.75,Ext,22,0.705,1.08,22
7561,177161.02,26.24,86.5,Ext,23,0.705,0.864,22
7562,177162.81,28.03,82.75,Ext,4,0.47,0.456,22
7564,177174.76,1.55,93,Ext,21,2.466,2.304,22
7565,177179.67,6.46,83,Ext,2,0.705,0.912,22
7566,177180.33,7.13,86.75,Ext,6,5.048,4.656,22
7567,177180.94,7.73,82.25,Ext,15,1.761,1.824,22
7568,177181.38,8.18,86.75,Ext,24,0.94,3.576,22
7569,177181.8,8.6,89.75,Ext,3,0.587,0.888,22
7570,177182.39,9.18,89.75,Ext,19,0.587,0.888,22
7571,177183.19,9.98,91,Ext,19,4.696,4.44,22
7572,177186.29,13.09,89.75,Ext,2,0.47,0.936,22
7573,177190.15,16.95,85.5,Ext,18,3.405,2.64,22
7574,177190.53,17.33,86.75,Ext,7,0.47,0.744,22
7575,177191.8,18.59,83.75,Ext,20,11.622,4.968,22
7576,177206.33,33.13,84.25,Ext,18,0.353,1.056,22
7578,177219.57,6.73,23.5,Ext,8,1.077,1.464,22
7579,177241.97,29.13,84.25,Ext,40,0.49,1.176,22
7580,177243.74,30.91,84.25,Ext,8,1.37,1.104,22
7581,177244.38,31.54,9.25,Ext,18,0.881,0.768,22
7582,177248.2,35.36,80.25,Ext,12,0.587,1.032,22
7583,177249.48,36.64,85.75,Ext,4,3.62,7.224,22
7585,177260.34,7.94,119.5,Ext,15,0.392,0.552,22
7586,177268.81,16.41,76,Ext,15,0.685,0.792,22
7587,177269.29,16.89,78,Ext,8,0.587,0.624,22
