Item No.,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
1079,26772.21,24.42,63.75,Ext,5,0.294,0.72,22
1080,26781.06,33.27,97.25,Ext,6,0.392,1.128,22
1081,26782.82,35.03,92.5,Ext,20,3.131,4.824,22
1082,26784.35,36.55,85,Ext,5,0.196,0.672,22
1084,26788.88,1.31,100.75,Ext,10,0.685,2.136,22
1085,26789.2,1.63,96.5,Ext,13,0.294,0.984,22
1086,26789.78,2.22,92.25,Ext,27,1.761,3.36,22
1087,26791.81,4.25,84.75,Ext,19,0.196,0.624,22
1088,26792.15,4.58,90,Ext,9,0.294,0.408,22
1089,26792.44,4.87,92,Ext,11,1.761,3.144,22
1090,26793.85,6.28,88,Ext,18,0.587,0.96,22
1091,26795.87,8.31,84.5,Ext,12,0.196,0.528,22
1092,26819.71,32.14,83.75,Ext,12,0.294,1.104,22
1094,26839.75,12.51,85.25,Ext,5,0.294,0.792,22
1095,26845.05,17.81,90.25,Ext,34,1.077,3.168,22
1096,26848.41,21.17,86.25,Ext,14,0.392,0.936,22
1097,26856.47,29.23,94,Ext,20,0.881,3.144,22
1100,26872.91,5.93,96.75,Ext,20,0.353,1.104,22
1101,26874.5,7.52,94.75,Ext,17,6.222,7.2,22
1102,26883.16,16.18,87.25,Ext,20,1.644,6.048,22
1103,26885.48,18.5,100.25,Ext,8,0.353,0.912,22
1104,26885.68,18.7,97.75,Ext,13,1.644,5.352,22
1105,26894.86,27.88,92,Ext,14,1.526,5.304,22
1106,26895,28.02,97.75,Ext,10,0.353,0.888,22
1108,26930.02,23.24,82.5,Ext,31,0.822,5.064,22
1109,26930.43,23.65,87,Ext,6,0.235,0.912,22
1110,26930.66,23.88,79,Ext,25,0.47,3.864,22
1111,26935.93,29.15,81.5,Ext,13,3.287,5.064,22
1112,26937.76,30.98,82.5,Ext,24,2.544,4.056,22
1113,26938.06,31.28,85.5,Ext,8,0.783,1.944,22
1114,26938.26,31.49,83,Ext,5,0.294,0.768,22
1117,26989.58,3.31,72,Ext,21,1.292,1.704,22
1118,26991.2,4.93,88.75,Ext,13,0.587,2.664,22
1119,26993.44,7.17,78.25,Ext,20,0.705,1.704,22
1120,26998.87,12.6,77.75,Ext,5,0.353,0.696,22
1121,27002.84,16.57,84,Ext,15,0.353,0.576,22
1122,27005.76,19.49,100.25,Ext,12,5.283,8.016,22
1123,27015.63,29.36,91.5,Ext,11,4.461,2.904,22
1124,27016.56,30.29,84,Ext,12,7.807,5.28,22
1125,27017.24,30.97,92.75,Ext,5,0.294,0.624,22
1126,27017.72,31.45,92.75,Ext,22,0.49,1.248,22
1127,27017.95,31.68,92.75,Ext,8,0.294,0.576,22
1128,27018.13,31.86,96.5,Ext,10,1.174,4.272,22
1129,27018.55,32.28,92.75,Ext,21,1.37,2.88,22
