wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
24315.47,24220,8.29,19,0.25,35000,0.782,1.65,5:45,172,172,External
24742.17,24644.54,7.29,25,0.25,35000,0.641,1.107,10:45,323,-37,External
24910.44,24811.89,7.98,19,0.25,35000,2.222,6.049,9:15,275,-85,External
25425.92,25324.84,7.9,23,0.25,35000,0.444,0.369,7:00,213,-147,External
25447.96,25346.72,8.89,25,0.25,35000,1.506,2.541,1:45,52,52,External
25619.33,25517.26,7.74,45,0.25,35000,0.699,0.65,2:15,67,67,Internal
26148.62,26043.88,8.2,26,0.25,35000,0.334,0.286,3:15,97,97,External
26396.87,26290.86,8.36,31,0.25,35000,0.619,0.67,3:15,97,97,Internal
26426.74,26320.56,8.99,22,0.25,35000,1.049,0.77,7:45,236,-124,Internal
28590.47,28469.68,37.85,19,0.219,52000,1.091,0.342,6:15,189,-171,External
28650.62,28529.87,35.16,21,0.219,52000,0.946,0.403,5:15,159,159,External
28655.31,28534.56,35.16,29,0.219,52000,0.909,0.464,5:15,156,156,External
28692.16,28571.41,36.05,19,0.219,52000,1.494,0.393,10:30,316,-44,External
28701.05,28580.32,36.05,21,0.219,52000,1.059,0.363,5:15,159,159,External
28706.18,28585.46,36.05,22,0.219,52000,0.91,0.375,6:30,192,-168,External
28707.37,28586.65,36.05,38,0.219,52000,1.013,1.048,12:15,8,8,External
28708.45,28587.72,36.05,22,0.219,52000,1.229,0.93,4:45,142,142,External
28709.11,28588.4,36.05,22,0.219,52000,0.935,1.299,4:15,131,131,External
28709.67,28588.91,36.05,52,0.219,52000,1.874,0.726,6:15,189,-171,External
28714.27,28593.55,33.8,51,0.219,52000,0.929,0.634,6:45,204,-156,External
28740.44,28619.74,33.8,30,0.219,52000,0.937,0.462,4:15,130,130,External
28742.76,28622.06,33.17,27,0.219,52000,0.935,0.403,6:15,187,-173,External
28745.13,28624.43,33.17,51,0.219,52000,0.949,0.471,6:30,192,-168,External
28747.1,28626.41,33.17,33,0.219,52000,0.817,0.482,9:30,287,-73,External
28775.64,28654.97,31.97,41,0.219,52000,0.856,0.396,6:00,183,-177,External
28781.37,28660.7,31.97,33,0.219,52000,0.863,0.514,5:30,168,168,External
28782.71,28662.05,31.97,24,0.219,52000,0.744,0.383,5:00,151,151,External
28799.47,28678.81,31.97,43,0.219,52000,0.902,0.533,5:15,161,161,External
28829.98,28709.34,31.6,22,0.219,52000,0.804,0.335,6:30,196,-164,External
28830.22,28709.56,31.6,21,0.219,52000,1.174,0.335,6:00,182,-178,External
28834.46,28713.82,31.6,20,0.219,52000,0.82,0.499,6:00,180,180,External
28839.26,28718.62,30.77,26,0.219,52000,0.847,0.838,4:45,146,146,External
28855.19,28734.57,30.77,19,0.219,52000,0.766,0.365,5:30,165,165,External
28855.62,28734.99,30.77,27,0.219,52000,0.792,0.587,5:30,165,165,External
28855.81,28735.19,30.77,23,0.219,52000,0.8,0.575,4:45,141,141,External
28856.36,28735.74,30.77,35,0.219,52000,0.837,0.408,5:15,155,155,External
28856.68,28736.05,30.77,19,0.219,52000,0.819,0.428,4:45,140,140,External
28856.93,28736.25,30.77,37,0.219,52000,2.248,1.218,5:15,160,160,External
28856.94,28736.32,30.77,20,0.219,52000,0.858,0.647,6:30,193,-167,External
28857.2,28736.52,30.77,31,0.219,52000,2.207,1.678,5:30,165,165,External
28857.34,28736.71,30.77,40,0.219,52000,0.782,0.636,4:30,136,136,External
28857.41,28736.79,30.77,34,0.219,52000,0.811,0.403,5:00,152,152,External
28857.45,28736.83,30.77,20,0.219,52000,0.715,0.335,6:15,188,-172,External
28857.54,28736.92,30.77,27,0.219,52000,0.735,0.562,6:00,178,178,External
28857.63,28736.96,30.77,24,0.219,52000,2.105,1.253,5:15,156,156,External
28857.61,28736.98,30.77,22,0.219,52000,0.858,0.444,4:30,137,137,External
28857.89,28737.26,30.77,30,0.219,52000,0.841,0.433,6:00,179,179,External
28859.15,28738.51,30.77,51,0.219,52000,1.206,0.908,6:30,198,-162,External
28859.66,28739.04,30.77,19,0.219,52000,0.835,0.925,5:30,165,165,External
28859.87,28739.21,30.77,21,0.219,52000,1.686,1.3,5:00,151,151,External
28860.02,28739.39,30.77,34,0.219,52000,1,0.462,4:45,147,147,External
28860.09,28739.47,30.77,30,0.219,52000,0.843,0.402,5:45,169,169,External
28860.82,28740.14,30.77,33,0.219,52000,2.168,1.065,5:15,157,157,External
28861.23,28740.61,30.77,38,0.219,52000,0.858,0.335,6:00,181,-179,External
28861.55,28740.89,30.77,30,0.219,52000,1.65,1.156,7:00,209,-151,External
28862.06,28741.43,30.77,26,0.219,52000,0.853,0.358,6:00,183,-177,External
28862.35,28741.68,30.77,25,0.219,52000,2.131,2.677,6:30,196,-164,External
28862.72,28742,30.77,19,0.219,52000,3.129,5.995,6:15,185,-175,External
28864.69,28744.06,30.77,23,0.219,52000,1.208,0.521,6:15,189,-171,External
28864.73,28744.1,30.77,20,0.219,52000,0.902,0.612,6:45,204,-156,External
28865.97,28745.28,30.17,19,0.219,52000,2.386,1.182,6:15,191,-169,External
28866.54,28745.91,30.17,23,0.219,52000,1.013,0.641,5:15,157,157,External
28866.72,28746.04,30.17,19,0.219,52000,2.313,1.167,6:15,190,-170,External
28867.97,28747.32,30.17,19,0.219,52000,1.525,0.446,5:15,161,161,External
29079.88,28959.38,27.19,26,0.219,52000,0.9,0.335,7:45,229,-131,External
29681.7,29561.56,24.06,19,0.25,35000,0.708,0.625,5:00,149,149,External
29724.48,29604.36,23.39,21,0.25,35000,0.969,0.546,5:00,151,151,Internal
29725.09,29604.98,23.39,20,0.25,35000,0.788,3.702,6:45,200,-160,Internal
29725.12,29605.01,23.39,32,0.25,35000,0.715,1.063,5:15,162,162,Internal
29730.15,29610.04,23.39,23,0.25,35000,0.827,0.5,6:30,193,-167,Internal
29731.1,29610.91,23.39,20,0.25,35000,2.647,1.363,4:45,147,147,Internal
29805.41,29685.35,22.43,20,0.25,35000,0.547,0.451,10:45,323,-37,External
29805.84,29685.75,22.43,21,0.25,35000,1.408,0.636,10:45,326,-34,External
29806.37,29686.31,22.43,36,0.25,35000,0.661,0.455,5:15,156,156,External
29807.7,29687.64,22.43,21,0.25,35000,0.631,0.625,11:30,346,-14,External
29814.51,29694.45,22.43,19,0.25,35000,0.628,0.427,10:15,311,-49,External
29822.49,29702.44,21.74,19,0.25,35000,0.73,0.333,2:45,87,87,External
29826.47,29706.42,21.74,30,0.25,35000,0.682,0.333,2:45,82,82,Internal
29836.46,29716.42,21.74,22,0.25,35000,0.758,0.61,5:30,162,162,External
29839.01,29718.97,21.74,19,0.25,35000,0.643,0.659,5:30,163,163,External
29845.73,29725.68,21.82,19,0.25,35000,0.944,0.734,5:15,158,158,External
29858.02,29737.98,21.82,33,0.25,35000,0.774,0.631,5:30,163,163,External
30003.88,29883.88,20.82,19,0.25,35000,1.947,1.523,10:15,310,-50,External
30021.22,29901.28,20.45,31,0.25,35000,0.594,0.522,8:45,262,-98,Internal
30058.12,29938.21,20.43,19,0.25,35000,0.722,0.609,6:00,183,-177,External
30246.34,30126.55,19.11,20,0.25,35000,0.551,0.549,5:15,160,160,External
30265.4,30145.57,18.99,34,0.25,35000,1.699,0.564,5:00,148,148,External
30269.74,30149.96,18.99,22,0.25,35000,0.651,0.419,6:15,191,-169,External
30270.6,30150.74,18.99,21,0.25,35000,2.318,2.312,5:45,170,170,External
30270.72,30150.94,18.99,23,0.25,35000,0.421,0.415,5:30,163,163,External
30270.96,30151.17,18.99,25,0.25,35000,0.633,0.658,5:45,174,174,External
30271.62,30151.84,18.99,19,0.25,35000,0.471,0.54,6:15,191,-169,External
30286.49,30166.71,18.81,19,0.25,35000,0.505,0.333,10:15,308,-52,Internal
30605.15,30485.55,16.51,28,0.25,35000,0.978,0.889,8:00,241,-119,External
30612.21,30492.62,16.51,19,0.25,35000,0.792,0.534,5:45,176,176,External
30613.65,30494.06,16.51,22,0.25,35000,0.593,0.429,6:00,182,-178,External
30617.23,30497.64,16.74,19,0.25,35000,0.737,0.73,9:00,272,-88,External
