joint_no,wheel,dist_US_weld,degrees,INT_EXT,depth,length,width,Dia
5570,20624.71,2.72,93.78,Ext,11,1.271,3.144,22
5570,20626.58,4.62,75.024,Ext,10,0.782,0.744,22
5570,20627.71,5.75,108.7848,Ext,10,0.88,1.032,22
5570,20631.29,9.33,112.536,Ext,17,0.782,0.6,22
5570,20632.15,10.18,75.024,Ext,10,0.685,0.792,22
5570,20643.18,21.21,101.2824,Ext,13,1.076,1.944,22
5590,20669.19,0.58,112.536,Ext,12,1.76,5.304,22
5590,20669.36,0.75,71.2728,Ext,10,1.076,1.464,22
5590,20669.46,0.85,45.0144,Ext,10,1.564,1.2,22
5590,20669.51,0.88,105.0336,Ext,10,0.88,1.008,22
5590,20688.03,19.4,93.78,Ext,20,1.564,2.184,22
5590,20701.86,33.24,48.7656,Ext,10,0.978,0.96,22
5590,20702.85,34.24,63.7704,Ext,10,1.173,1.176,22
5590,20707.45,38.84,60.0192,Ext,14,1.076,1.152,22
5590,20708.09,39.49,135.0432,Ext,10,0.88,0.768,22
5590,20708.29,39.69,86.2776,Ext,10,1.271,1.464,22
5600,20742.12,33.67,112.536,Ext,16,0.685,0.6,22
5600,20742.24,33.76,60.0192,Ext,10,1.369,0.696,22
5600,20743.69,35.24,71.2728,Ext,12,1.173,1.2,22
5800,21496.75,32.18,97.5312,Ext,10,0.685,0.84,22
6000,22198.14,22.45,108.7848,Ext,14,1.467,4.104,22
6000,22198.47,22.74,82.5264,Ext,13,1.564,4.104,22
6000,22198.45,22.74,116.2872,Ext,12,0.88,7.464,22
6000,22198.49,22.78,56.268,Ext,10,1.467,2.904,22
6000,22198.73,23,116.2872,Ext,12,1.173,7.704,22
6000,22198.73,23,78.7752,Ext,14,1.369,12.264,22
6000,22199.01,23.3,56.268,Ext,11,0.88,1.632,22
6000,22199.03,23.31,123.7896,Ext,10,1.271,6.744,22
6000,22199.32,23.59,127.5408,Ext,10,1.271,2.088,22
6000,22199.5,23.71,78.7752,Ext,20,3.324,9.624,22
6000,22199.53,23.79,116.2872,Ext,13,1.076,9.6,22
6000,22199.59,23.88,138.7944,Ext,10,1.076,0.864,22
6000,22199.76,24.05,78.7752,Ext,11,1.564,8.424,22
6000,22199.8,24.07,116.2872,Ext,13,1.369,2.904,22
6000,22200.08,24.35,71.2728,Ext,11,0.978,8.184,22
6000,22200.11,24.39,131.292,Ext,11,1.467,11.784,22
6000,22200.36,24.63,56.268,Ext,10,0.782,1.704,22
6000,22200.34,24.63,78.7752,Ext,10,0.978,1.536,22
6000,22200.34,24.63,116.2872,Ext,11,0.88,1.992,22
6000,22200.56,24.83,101.2824,Ext,10,1.076,1.272,22
6000,22200.55,24.83,75.024,Ext,10,1.076,1.656,22
6000,22200.77,25.05,78.7752,Ext,12,0.978,0.96,22
6000,22200.79,25.06,63.7704,Ext,10,0.88,1.416,22
6000,22200.8,25.07,108.7848,Ext,12,1.369,9.144,22
6000,22200.79,25.07,90.0288,Ext,10,1.076,0.84,22
6000,22201,25.28,71.2728,Ext,14,1.369,8.184,22
6000,22201.19,25.46,60.0192,Ext,10,0.978,1.704,22
6000,22201.37,25.59,127.5408,Ext,13,2.542,6.744,22
6000,22201.39,25.67,138.7944,Ext,10,1.173,1.488,22
6000,22201.6,25.87,123.7896,Ext,10,0.782,2.856,22
6000,22201.63,25.92,78.7752,Ext,10,1.076,5.376,22
6000,22201.85,26.12,78.7752,Ext,10,1.271,9.624,22
6000,22201.87,26.15,120.0384,Ext,10,1.076,4.104,22
6000,22202.06,26.34,63.7704,Ext,10,0.978,5.544,22
6000,22202.06,26.34,123.7896,Ext,11,0.978,4.584,22
6000,22202.26,26.52,131.292,Ext,16,1.173,4.824,22
6000,22202.31,26.57,67.5216,Ext,11,1.076,3.144,22
6000,22202.53,26.8,127.5408,Ext,16,1.173,3.864,22
6000,22202.81,27.09,131.292,Ext,10,1.076,1.176,22
6250,23078.21,5.66,101.2824,Ext,14,0.685,0.816,22
6250,23079.31,6.77,93.78,Ext,10,0.88,1.224,22
6250,23079.33,6.79,105.0336,Ext,24,0.88,0.72,22
6260,23118.64,6.43,116.2872,Ext,10,1.643,7.152,22
6260,23122.11,9.82,116.2872,Ext,10,3.519,26.903,22
6370,23553.84,4.36,3.7512,Ext,20,0.685,0.504,22
6450,23868.14,0.94,97.5312,Ext,16,1.662,3.864,22
6460,23939.19,32.2,131.292,Ext,16,0.685,0.672,22
6480,23989.8,3.3,3.7512,Ext,13,0.685,0.672,22
6590,24413.29,0.42,93.78,Ext,12,1.467,1.776,22
6700,24873.11,22.99,97.5312,Ext,10,1.369,0.888,22
6700,24889.67,39.65,90.0288,Ext,16,3.324,3.624,22
6710,24890.18,0.26,90.0288,Ext,10,1.076,2.544,22
6710,24890.34,0.42,90.0288,Ext,10,0.685,0.816,22
6720,24944.26,14.53,120.0384,Int,10,0.489,0.672,22
6840,25445.21,38.55,82.5264,Ext,12,2.933,1.944,22
6870,25525.98,0.09,41.2632,Ext,12,0.978,1.224,22
6870,25559.85,34.01,82.5264,Ext,12,1.662,0.984,22
6890,25606.47,0.96,93.78,Ext,10,1.408,0.936,22
6890,25622.66,17.14,71.2728,Ext,10,0.782,1.248,22
6910,25715.11,30.16,116.2872,Ext,10,0.782,0.552,22
6940,25833.89,29.58,120.0384,Ext,17,1.173,0.696,22
6940,25834.96,30.63,105.0336,Ext,22,0.685,0.48,22
6970,25923.98,0.28,93.78,Ext,10,1.173,1.176,22
6980,25978.42,14.85,101.2824,Ext,10,1.076,1.08,22
6980,25981.38,17.8,90.0288,Ext,10,1.076,1.32,22
6980,25982.5,18.91,90.0288,Ext,11,1.369,0.912,22
7010,26101.72,18.78,93.78,Ext,16,1.369,1.224,22
7010,26110.09,27.16,93.78,Ext,10,0.88,1.344,22
7010,26110.37,27.43,105.0336,Ext,10,0.782,0.96,22
7010,26116.97,34.06,86.2776,Ext,10,1.564,2.424,22
